"","ID.","Habitat","ResDimension","ConDimension","Model","AIC","BIC"
"296",39944,2,2,2,"CubFit",-73.807955177698,-67.9176860259583
"297",39947,3,1,2,"PowFit",-227.881993366026,-226.688307547631
"298",39947,3,1,2,"QuaFit",-226.408670606632,-224.817089515438
"299",39947,3,1,2,"GenFit",-226.076239686786,-224.484658595592
"300",39947,3,1,2,"CubFit",-224.472927371813,-222.483451007821
"301",39951,1,1,1,"PowFit",-106.113404192354,-106.73812578467
"302",39951,1,1,1,"QuaFit",-114.97275360376,-115.805715726848
"303",39951,1,1,1,"GenFit",-109.10503293024,-109.937995053328
"304",39951,1,1,1,"CubFit",-133.853590657217,-134.894793311077
"305",39952,1,1,1,"PowFit",-113.790650106382,-114.415371698698
"306",39952,1,1,1,"QuaFit",-115.995696778105,-116.828658901192
"307",39952,1,1,1,"GenFit",-109.860720713703,-110.693682836791
"308",39952,1,1,1,"CubFit",-138.433090764529,-139.474293418389
"309",39954,1,1,1,"PowFit",-117.452330927349,-118.077052519665
"310",39954,1,1,1,"QuaFit",-116.750231683936,-117.583193807024
"311",39954,1,1,1,"GenFit",-116.741399840707,-117.574361963795
"312",39954,1,1,1,"CubFit",-116.249940150669,-117.291142804529
"313",39955,3,1,1,"PowFit",-123.090038806463,-123.252308359297
"314",39955,3,1,1,"QuaFit",-122.217330586663,-122.433689990441
"315",39955,3,1,1,"GenFit",NA,NA
"316",39955,3,1,1,"CubFit",-121.900869104072,-122.171318358796
"317",39956,3,1,1,"PowFit",-116.321985335282,-116.484254888116
"318",39956,3,1,1,"QuaFit",-117.506833596299,-117.723193000078
"319",39956,3,1,1,"GenFit",-116.429087594067,-116.645446997845
"320",39956,3,1,1,"CubFit",-121.531618386359,-121.802067641083
"321",39957,3,1,1,"PowFit",-117.511748741588,-117.674018294422
"322",39957,3,1,1,"QuaFit",-116.463293062436,-116.679652466215
"323",39957,3,1,1,"GenFit",-116.220553619107,-116.436913022886
"324",39957,3,1,1,"CubFit",-114.818786790821,-115.089236045545
"325",39958,3,1,1,"PowFit",-120.572338474193,-120.734608027027
"326",39958,3,1,1,"QuaFit",-122.702153607127,-122.918513010906
"327",39958,3,1,1,"GenFit",NA,NA
"328",39958,3,1,1,"CubFit",-129.66784266559,-129.938291920313
"329",39959,3,1,1,"PowFit",-118.681584281564,-118.843853834398
"330",39959,3,1,1,"QuaFit",-116.693083825081,-116.90944322886
"331",39959,3,1,1,"GenFit",-97.8786694821839,-98.0950288859627
"332",39959,3,1,1,"CubFit",-114.942234019793,-115.212683274517
"333",39960,2,1,1,"PowFit",-118.748859934273,-119.373581526589
"334",39960,2,1,1,"QuaFit",-124.671651600144,-125.504613723231
"335",39960,2,1,1,"GenFit",-120.072623022554,-120.905585145642
"336",39960,2,1,1,"CubFit",-134.6386700019,-135.67987265576
"337",39961,2,1,1,"PowFit",-132.759378682899,-133.384100275215
"338",39961,2,1,1,"QuaFit",-134.83534982346,-135.668311946548
"339",39961,2,1,1,"GenFit",-28.2990621926956,-29.1320243157834
"340",39961,2,1,1,"CubFit",-134.722868591868,-135.764071245728
"341",39962,1,2,2,"PowFit",-67.5291467549268,-68.1538683472427
"342",39962,1,2,2,"QuaFit",-67.525916848983,-68.3588789720708
"343",39962,1,2,2,"GenFit",NA,NA
"344",39962,1,2,2,"CubFit",-69.9287046525614,-70.9699073064211
"345",39963,1,2,2,"PowFit",-89.3227651146387,-88.4150098356566
"346",39963,1,2,2,"QuaFit",-96.1643463937446,-94.9540060217684
"347",39963,1,2,2,"GenFit",-87.3227650010413,-86.1124246290651
"348",39963,1,2,2,"CubFit",-96.6945271122176,-95.1816016472474
"349",39965,1,2,2,"PowFit",-19.2682201357161,-18.6765464037075
"350",39965,1,2,2,"QuaFit",-18.6452494648282,-17.8563511554834
"351",39965,1,2,2,"GenFit",-16.5866124507703,-15.7977141414254
"352",39965,1,2,2,"CubFit",-17.1822102299345,-16.1960873432534
"353",39966,1,2,2,"PowFit",-19.5249769670086,-18.6172216880265
"354",39966,1,2,2,"QuaFit",-21.9633925034135,-20.7530521314373
"355",39966,1,2,2,"GenFit",-17.5249763730292,-16.314636001053
"356",39966,1,2,2,"CubFit",-20.6053629642578,-19.0924374992875
"357",39972,1,2,2,"PowFit",7.7866755658088,9.70384755465458
"358",39972,1,2,2,"QuaFit",11.7431672125533,14.2993965310143
"359",39972,1,2,2,"GenFit",9.36417077377964,11.9204000922407
"360",39972,1,2,2,"CubFit",13.1387460103289,16.3340326584052
"361",39973,1,2,2,"PowFit",57.8389107745247,57.2141891822089
"362",39973,1,2,2,"QuaFit",49.9891841089249,49.1562219858371
"363",39973,1,2,2,"GenFit",64.3196474125402,63.4866852894524
"364",39973,1,2,2,"CubFit",42.3172773980734,41.2760747442137
"365",39974,1,2,2,"PowFit",95.9984962588075,95.3737746664916
"366",39974,1,2,2,"QuaFit",82.9919272955401,82.1589651724523
"367",39974,1,2,2,"GenFit",98.4119850100615,97.5790228869737
"368",39974,1,2,2,"CubFit",84.8562712143605,83.8150685605008
"369",39975,1,2,2,"PowFit",91.8875772643319,91.2628556720161
"370",39975,1,2,2,"QuaFit",78.1690160604508,77.3360539373631
"371",39975,1,2,2,"GenFit",93.8875771699741,93.0546150468863
"372",39975,1,2,2,"CubFit",68.3901874319701,67.3489847781103
"373",39976,1,2,2,"PowFit",122.890511317649,122.728241764815
"374",39976,1,2,2,"QuaFit",117.876834760148,117.660475356369
"375",39976,1,2,2,"GenFit",124.89051119851,124.674151794732
"376",39976,1,2,2,"CubFit",108.717684719001,108.447235464277
"377",39977,1,2,2,"PowFit",-4.65131156951886,-4.81358112235292
"378",39977,1,2,2,"QuaFit",-37.1351358880693,-37.3514952918481
"379",39977,1,2,2,"GenFit",-18.9440416767612,-19.1604010805399
"380",39977,1,2,2,"CubFit",-37.8816141811905,-38.152063435914
"381",39978,1,2,2,"PowFit",-12.5841262670709,-12.746395819905
"382",39978,1,2,2,"QuaFit",-14.5963362464169,-14.8126956501956
"383",39978,1,2,2,"GenFit",-13.968738866819,-14.1850982705977
"384",39978,1,2,2,"CubFit",-12.6088413791945,-12.879290633918
"385",39979,1,2,2,"PowFit",-9.52994404979893,-10.1546656421148
"386",39979,1,2,2,"QuaFit",-30.6909620707938,-31.5239241938816
"387",39979,1,2,2,"GenFit",NA,NA
"388",39979,1,2,2,"CubFit",-30.0857168305244,-31.1269194843841
"389",39980,1,2,2,"PowFit",-10.1691958587063,-10.7939174510222
"390",39980,1,2,2,"QuaFit",-12.0392212923151,-12.8721834154029
"391",39980,1,2,2,"GenFit",-12.1830503354202,-13.016012458508
"392",39980,1,2,2,"CubFit",-10.5746089515532,-11.6158116054129
"393",39981,3,3,1,"PowFit",-127.445457776922,-128.070179369238
"394",39981,3,3,1,"QuaFit",-127.031773483418,-127.864735606506
"395",39981,3,3,1,"GenFit",-126.605272602013,-127.4382347251
"396",39981,3,3,1,"CubFit",-125.756635907725,-126.797838561585
"397",39982,2,2,2,"PowFit",-55.1439629101313,-54.5522891781226
"398",39982,2,2,2,"QuaFit",-69.9424705281475,-69.1535722188026
"399",39982,2,2,2,"GenFit",NA,NA
"400",39982,2,2,2,"CubFit",-68.2712606191641,-67.285137732483
"401",39983,3,1,1,"PowFit",-295.983782766341,-294.790096947945
"402",39983,3,1,1,"QuaFit",-294.067238862082,-292.475657770889
"403",39983,3,1,1,"GenFit",-294.169741478603,-292.578160387409
"404",39983,3,1,1,"CubFit",-292.283079219852,-290.29360285586
"405",39984,3,1,1,"PowFit",-104.259758807678,-104.884480399994
"406",39984,3,1,1,"QuaFit",-104.612315947564,-105.445278070652
"407",39984,3,1,1,"GenFit",-103.544168981852,-104.37713110494
"408",39984,3,1,1,"CubFit",-111.969597709987,-113.010800363847
"409",39987,2,2,2,"PowFit",-132.732944649348,-130.06182937566
"410",39987,2,2,2,"QuaFit",-143.770666699011,-140.209179667427
"411",39987,2,2,2,"GenFit",NA,NA
