"","ID","a","h","minAIC","minBIC","AIC","BIC","Habitat","Res_Dim","Con_Dim","mecphe"
"105","39990","1.90202508063974","-2.71596442399808","-163.381233720944","-162.984026012545","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"106","39991","-7.95096276133975","-13.5453874042608","-179.57438282653","-179.336058201491","PowFit","PowFit","Terrestrial","2D","2D","Mechanistic"
"107","39992","-3.72312377674107","17.7415738555652","13.1634897363406","13.7551634683493","PowFit","PowFit","Marine","3D","3D","Mechanistic"
"108","39993","18.7047991590134","-12.5087234910987","-127.266319452415","-128.307522106275","CubFit","CubFit","Marine","3D","3D","Phenomenological"
"109","39994","9.39144867093296","-3.52449603058574","-157.009003961386","-156.770679336347","PowFit","PowFit","Marine","3D","3D","Mechanistic"
"110","39995","5.59604036292743","2.69823419714324","-148.428191001182","-148.189866376143","PowFit","PowFit","Marine","3D","3D","Mechanistic"
"111","39996","0.53602450790878","-7.1230963958945","-148.057295513347","-147.818970888307","PowFit","PowFit","Marine","3D","3D","Mechanistic"
"112","39997","2.10687152945075","-2.37179147887974","-138.847791202879","-138.53002503616","QuaFit","QuaFit","Marine","3D","3D","Phenomenological"
"113","39998","17.1096301990934","12.406960564166","-35.5942920875453","-35.1970843791461","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"114","39999","23.4547338441735","2.58465909690837","-20.6432501724601","-20.2460424640609","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"115","40000","-12.7672568343786","11.4836065811565","-7.89371993267067","-7.57595376595133","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"116","40001","16.7019551994078","9.78530859076788","-58.9779068359292","-58.58069912753","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"117","40002","11.3507164163298","4.04823131160215","-131.17719801822","-131.447647272944","CubFit","CubFit","Marine","2D","2D","Phenomenological"
"118","40003","-5.60259790861738","0.0515282495987449","-120.938725052374","-121.155084456153","QuaFit","QuaFit","Marine","2D","2D","Phenomenological"
"119","40004","4.71908575516731","3.10769945012829","-141.723342451286","-139.682969158242","CubFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"120","40005","-12.9930996548941","-1.25786849550027","-134.900240939111","-132.475707690171","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"121","40006","2.01913439516369","2.29540688746688","-151.150762104268","-149.211135505116","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"122","40007","-4.39292635296185","-2.74012565950103","-138.88084530144","-136.941218702288","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"123","40008","0.950974662200577","0.543845779111905","-90.7230976835744","-90.405331516855","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"124","40009","0.710708123650052","-1.57510679004401","-130.633005617066","-128.208472368126","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"125","40010","6.67964702128695","1474.02411053304","55.6582700235141","54.6170673696544","CubFit","CubFit","Marine","3D","3D","Phenomenological"
"126","40013","-5.09700129288982","0.327703082903418","-30.8213928334221","-30.5830682083826","PowFit","PowFit","Terrestrial","sessile","2D","Mechanistic"
"127","40014","4.44182602020835","9.8791983449436","-22.9897515956199","-23.2061109993986","GenFit","GenFit","Terrestrial","sessile","2D","Mechanistic"
"128","40017","1.47221277852131","1.73862506696063","-401.403322665404","-396.074504624703","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"129","40018","12.9947807248173","4.67280024504535","-432.089128134323","-426.353179316383","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"130","40019","1.67538270762719","12.681316437702","-389.93806765611","-384.233482899202","CubFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"131","40020","0.272484904854094","-9.72293860636874","-388.636856740435","-384.749346142422","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"132","40021","3.38689867983689","-0.579493854217064","-290.339326535862","-287.506009598362","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"133","40022","-2.23590989389592","-1.6271950476978","-325.809982935344","-322.055440417495","CubFit","PowFit","Freshwater","3D","3D","Phenomenological"
"134","40023","2.64235622612183","-3.70633294662623","-102.470526930668","-102.740976185392","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"135","40024","3.30715720783118","-1.6919572884575","-102.649592911085","-102.920042165809","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"136","40025","-2.32054652049741","1.9149874026603","-133.918943853722","-131.92946748973","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"137","40026","11.3770794384062","8.78998025003249","-72.4573547506707","-72.6737141544495","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
