"","ID.","Habitat","ResDimension","ConDimension","Model","AIC","BIC"
"178",39901,1,2,2,"QuaFit",-121.980073717289,-121.66230755057
"179",39901,1,2,2,"GenFit",-101.951998698565,-101.634232531846
"180",39901,1,2,2,"CubFit",-121.446387160297,-121.049179451897
"181",39902,1,2,2,"PowFit",-113.741026678065,-113.502702053025
"182",39902,1,2,2,"QuaFit",-111.347070610787,-111.029304444067
"183",39902,1,2,2,"GenFit",-118.612637929301,-118.294871762582
"184",39902,1,2,2,"CubFit",-109.523512025019,-109.12630431662
"185",39903,1,2,2,"PowFit",-110.773957471746,-110.535632846707
"186",39903,1,2,2,"QuaFit",-108.487362183602,-108.169596016883
"187",39903,1,2,2,"GenFit",-109.467406776994,-109.149640610275
"188",39903,1,2,2,"CubFit",-106.692609446825,-106.295401738426
"189",39904,1,2,2,"PowFit",-121.930460379326,-121.692135754287
"190",39904,1,2,2,"QuaFit",-125.381141877445,-125.063375710726
"191",39904,1,2,2,"GenFit",-128.683956815249,-128.36619064853
"192",39904,1,2,2,"CubFit",-123.397255429577,-123.000047721177
"193",39905,1,2,2,"PowFit",-120.461438822408,-120.223114197368
"194",39905,1,2,2,"QuaFit",-118.880446598166,-118.562680431447
"195",39905,1,2,2,"GenFit",-119.47161120089,-119.153845034171
"196",39905,1,2,2,"CubFit",-117.088385289705,-116.691177581306
"197",39906,1,2,2,"PowFit",-130.222756637214,-129.984432012174
"198",39906,1,2,2,"QuaFit",-126.033286426959,-125.71552026024
"199",39906,1,2,2,"GenFit",-128.882897924616,-128.565131757897
"200",39906,1,2,2,"CubFit",-125.723250874261,-125.326043165861
"201",39907,3,1,1,"PowFit",-147.289873383151,-144.016746023076
"202",39907,3,1,1,"QuaFit",-184.01010268018,-179.645932866747
"203",39907,3,1,1,"GenFit",NA,NA
"204",39907,3,1,1,"CubFit",-185.813129947064,-180.357917680273
"205",39908,3,1,1,"PowFit",-155.261166492778,-155.022841867738
"206",39908,3,1,1,"QuaFit",-143.170160407701,-142.852394240981
"207",39908,3,1,1,"GenFit",-155.907815361897,-155.590049195177
"208",39908,3,1,1,"CubFit",-146.154852200325,-145.757644491926
"209",39909,3,1,1,"PowFit",-145.548842177864,-145.310517552824
"210",39909,3,1,1,"QuaFit",-139.795063650391,-139.477297483672
"211",39909,3,1,1,"GenFit",-143.54955273466,-143.231786567941
"212",39909,3,1,1,"CubFit",-145.121941061591,-144.724733353192
"213",39910,1,2,2,"PowFit",815.328660148843,820.395298511185
"214",39910,1,2,2,"QuaFit",764.129391245162,770.884909061617
"215",39910,1,2,2,"GenFit",817.328660117476,824.084177933932
"216",39910,1,2,2,"CubFit",763.882082239875,772.326479510445
"217",39911,1,2,2,"PowFit",817.211420002166,822.424428857016
